region_bld,clim,urt
C-EEU-BGR,Zone_4A Mixed Humid,urb
C-EEU-CZE,Zone_5A Cool Humid,urb
C-EEU-EST,Zone_6A Cold Humid,urb
C-EEU-HRV,Zone_4A Mixed Humid,urb
C-EEU-HUN,Zone_4A Mixed Humid,urb
C-EEU-LTU,Zone_6A Cold Humid,urb
C-EEU-LVA,Zone_6A Cold Humid,urb
C-EEU-POL,Zone_5A Cool Humid,urb
C-EEU-ROU,Zone_5A Cool Humid,urb
C-EEU-SVK,Zone_5A Cool Humid,urb
C-EEU-SVN,Zone_5A Cool Humid,urb
C-WEU-AUT,Zone_4A Mixed Humid,urb
C-WEU-BEL,Zone_4A Mixed Humid,urb
C-WEU-CYP,Zone_3A Warm Humid,urb
C-WEU-DEU,Zone_5A Cool Humid,urb
C-WEU-DNK,Zone_5A Cool Humid,urb
C-WEU-ESP,Zone_3A Warm Humid,urb
C-WEU-FIN,Zone_6A Cold Humid,urb
C-WEU-FRA,Zone_4A Mixed Humid,urb
C-WEU-GRC,Zone_3A Warm Humid,urb
C-WEU-IRL,Zone_5A Cool Humid,urb
C-WEU-ITA,Zone_3A Warm Humid,urb
C-WEU-LUX,Zone_5A Cool Humid,urb
C-WEU-MLT,Zone_3A Warm Humid,urb
C-WEU-NLD,Zone_4A Mixed Humid,urb
C-WEU-PRT,Zone_3A Warm Humid,urb
C-WEU-SWE,Zone_6A Cold Humid,urb
